sleep_hours,study_hours,screen_time,exercise,social_time,productivity_score,burnout_risk
6.28,6.86,3.67,2.85,4.58,91.6,0
5.97,5.35,8.64,1.96,4.02,39.76,1
7.8,2.88,7.61,0.61,3.47,34.94,1
7.69,0.95,7.53,0.25,4.68,15.61,2
9.75,8.01,6.34,2.35,3.98,86.5,1
5.52,5.9,1.86,1.85,0.86,84.85,0
7.43,4.66,5.7,2.29,4.0,76.71,0
7.6,9.31,2.08,0.35,0.44,100.0,1
6.51,7.74,7.04,1.0,4.49,73.0,1
5.62,3.64,3.83,0.47,0.74,50.29,1
6.63,3.83,7.57,1.66,4.68,43.54,1
6.88,3.76,9.88,2.15,4.76,40.26,1
9.1,6.37,2.1,1.76,3.43,92.58,0
6.73,8.25,3.66,1.38,2.21,99.94,0
9.51,7.81,2.0,2.99,4.4,100.0,0
9.02,1.06,9.99,2.0,3.25,24.45,1
9.38,0.29,3.17,0.43,3.88,37.11,0
9.46,6.56,1.33,0.02,0.26,80.15,1
8.81,2.39,8.64,0.17,4.0,19.58,1
8.63,6.98,8.54,0.12,1.01,73.03,1
7.78,8.51,2.4,2.2,0.97,100.0,0
8.26,9.8,6.5,0.16,3.08,99.84,1
9.3,7.1,2.56,0.28,0.92,85.39,0
6.75,7.84,6.73,1.72,0.73,95.67,0
5.81,5.78,7.3,1.95,4.7,51.05,2
7.05,4.04,5.27,0.36,0.67,56.43,1
5.83,4.28,6.5,1.9,2.06,38.85,1
5.31,5.88,3.85,0.11,2.09,68.21,1
5.35,5.72,6.09,2.11,3.24,55.65,1
5.9,7.87,5.94,1.29,3.13,88.4,1
7.08,7.37,8.98,2.76,2.52,76.76,1
8.8,3.14,8.54,1.48,0.58,47.4,1
9.05,0.56,3.53,1.0,0.86,46.44,0
8.46,0.15,8.44,2.57,1.86,35.64,1
7.61,1.2,4.28,2.88,4.98,48.8,0
5.87,6.88,7.35,1.16,3.2,54.92,1
5.25,5.25,2.47,0.5,4.18,64.41,1
7.34,8.39,9.91,0.42,2.24,67.12,2
4.48,7.55,4.9,1.41,0.75,51.57,1
9.44,0.45,3.1,0.88,2.45,46.79,0
6.96,0.84,3.19,2.53,3.19,44.31,0
8.02,7.63,1.52,1.1,2.7,100.0,0
9.07,4.83,7.92,2.56,2.52,60.41,1
7.52,8.5,4.07,1.5,2.66,94.82,0
6.39,9.17,6.68,0.53,1.69,83.62,1
4.15,9.27,5.03,0.92,2.99,51.88,2
5.67,7.03,6.7,2.95,3.1,77.97,1
8.57,9.03,7.49,2.89,3.91,87.18,1
4.68,7.32,4.96,1.66,3.27,64.87,1
9.91,2.88,7.6,2.25,1.73,40.65,1
4.25,7.77,5.41,2.96,2.32,50.45,1
6.47,7.94,1.76,1.67,4.01,94.55,0
8.94,0.37,4.35,0.15,0.55,31.65,0
8.28,7.74,8.79,2.22,4.0,83.13,1
5.41,6.22,8.72,0.01,2.57,32.49,2
4.18,4.01,9.06,2.01,1.19,0.0,2
6.09,8.53,3.69,1.77,1.98,88.6,0
9.32,1.88,1.76,1.03,3.59,58.42,0
9.99,2.96,4.67,0.41,2.87,39.58,0
6.35,9.15,5.47,0.4,1.83,74.14,1
5.21,0.18,5.08,1.9,1.72,12.88,1
9.76,7.52,5.87,0.85,4.48,69.67,0
5.95,9.09,5.77,2.23,2.95,78.78,1
5.8,2.41,3.9,0.47,4.37,29.43,1
7.37,7.92,8.05,1.32,2.38,87.88,1
8.05,8.15,9.12,2.36,0.93,94.78,1
4.61,6.53,9.6,1.54,2.16,36.46,2
9.76,1.03,1.37,0.74,0.33,48.92,0
7.1,3.13,1.46,0.33,1.92,68.16,0
8.19,2.07,3.72,1.18,2.08,53.47,0
4.67,8.63,1.01,1.52,2.45,59.65,1
6.59,7.81,8.57,0.78,1.61,54.6,1
6.88,6.83,3.05,0.99,4.65,73.51,0
6.76,7.12,2.35,0.14,0.69,90.75,0
4.06,1.88,1.28,0.33,3.1,21.02,1
7.42,5.9,8.64,0.01,4.27,61.85,1
4.98,7.73,8.7,0.76,4.59,28.2,2
7.62,9.85,4.25,2.44,1.59,100.0,0
7.6,2.16,4.73,0.95,0.39,51.75,0
6.08,0.19,2.49,2.18,3.54,40.03,0
5.9,8.9,6.34,0.38,0.72,58.52,2
5.04,5.07,9.93,0.01,0.08,38.56,2
7.51,1.27,9.08,2.64,2.68,22.3,1
5.64,0.51,6.35,0.88,3.32,0.0,1
4.11,5.96,3.08,2.62,1.27,51.15,1
7.32,3.96,7.1,2.18,2.83,54.37,1
9.9,4.19,5.63,0.04,3.98,54.55,1
6.45,0.94,9.01,1.19,3.41,5.93,1
9.77,1.78,2.8,2.58,4.56,50.14,0
6.82,7.33,8.91,1.14,2.59,75.3,1
8.39,7.83,6.13,0.31,4.52,75.63,1
8.79,1.0,2.84,2.23,0.12,67.06,0
6.26,7.19,8.99,1.18,1.6,79.07,1
7.49,4.09,6.42,2.81,2.34,71.02,0
6.26,3.94,2.18,0.49,3.42,36.65,0
9.73,2.44,1.89,2.26,4.41,60.47,0
5.21,1.86,5.7,1.41,1.3,25.92,1
6.89,9.59,6.87,1.49,0.55,99.43,1
5.77,7.65,8.89,2.7,4.92,53.07,2
9.72,0.72,2.24,0.91,2.76,27.81,0
9.07,6.17,5.88,0.5,1.27,69.45,1
9.11,5.84,7.62,0.89,1.86,66.18,1
8.56,7.72,2.86,2.82,0.6,100.0,0
4.6,2.65,8.62,0.54,2.07,0.69,2
5.47,7.1,8.66,2.62,1.7,65.58,1
5.49,2.45,2.45,2.82,4.44,41.27,0
7.11,4.91,5.77,1.61,2.17,65.55,0
4.75,9.52,5.34,2.86,0.82,76.25,2
5.25,2.53,1.27,0.36,4.58,40.58,1
7.65,4.65,4.6,1.6,0.94,52.22,0
8.91,7.42,5.22,0.46,4.6,68.41,1
4.3,3.42,8.15,1.87,3.75,10.85,2
5.27,9.24,4.94,1.92,0.01,72.42,1
5.69,0.62,5.12,0.39,0.76,12.95,1
6.36,9.22,3.87,2.18,2.31,95.62,0
7.6,4.73,9.55,1.03,0.89,55.16,1
9.08,0.4,5.05,2.68,3.75,41.21,0
7.19,6.6,3.72,2.84,1.83,100.0,0
6.42,5.62,7.48,1.53,4.54,52.98,1
7.88,3.42,4.67,1.32,0.63,65.15,0
8.0,6.56,6.97,0.06,1.63,79.79,1
8.67,8.61,3.22,2.0,0.65,100.0,0
4.83,2.84,7.07,2.73,1.01,25.22,2
8.21,9.53,6.49,0.77,3.13,100.0,1
9.86,4.0,7.17,0.07,2.0,48.99,1
7.66,4.44,9.42,2.56,1.61,63.1,1
6.94,6.32,4.01,0.73,4.56,76.31,0
9.06,9.78,7.7,2.29,3.81,100.0,1
6.74,2.4,6.8,0.87,1.29,39.44,0
6.46,2.19,8.34,2.58,0.84,29.82,1
6.02,7.98,8.55,0.41,3.87,46.62,1
6.34,9.99,2.73,0.46,2.11,100.0,1
9.6,9.81,1.63,0.41,3.95,100.0,1
9.31,6.63,2.01,2.5,0.88,100.0,0
7.31,5.01,7.18,1.96,4.96,66.34,1
4.57,7.28,9.79,0.95,2.31,35.34,2
4.31,6.72,4.18,2.36,4.16,46.89,1
6.5,3.22,7.74,2.4,2.46,35.1,1
4.86,8.79,1.86,0.46,2.67,55.69,2
4.32,0.01,4.93,2.32,0.17,1.62,1
8.94,1.68,2.32,2.58,4.12,54.27,0
8.92,0.93,4.55,2.21,1.29,44.76,0
7.03,7.5,5.18,1.1,1.1,83.05,0
8.51,1.19,1.77,0.53,0.88,53.59,0
6.39,9.9,2.23,1.96,2.24,100.0,0
9.25,9.76,8.86,0.58,1.1,87.59,1
5.73,7.35,6.1,1.65,4.14,77.3,1
4.16,0.49,6.41,1.46,1.3,0.0,1
8.55,8.27,6.05,1.16,1.35,91.81,1
5.89,5.64,7.09,0.2,0.01,37.75,2
9.37,6.46,2.55,2.67,2.35,100.0,0
9.61,0.59,2.94,1.76,0.98,43.18,0
5.28,0.99,2.86,1.27,0.88,28.03,0
9.16,3.2,4.25,0.17,1.79,53.96,0
7.66,2.05,9.0,2.79,0.5,32.85,1
4.69,6.2,2.1,2.56,3.77,69.47,1
7.16,9.97,1.4,1.2,1.62,100.0,0
7.46,8.06,2.53,2.94,2.49,100.0,0
6.39,5.85,2.15,0.96,0.97,84.81,0
9.2,5.89,4.23,1.23,2.16,79.74,0
9.56,9.33,4.52,0.99,2.26,100.0,0
6.77,6.59,5.99,0.96,1.73,72.64,0
4.57,1.66,7.51,1.17,1.07,0.0,2
8.53,2.57,8.44,2.78,2.99,44.37,1
4.32,9.46,4.53,2.77,2.89,68.09,1
4.23,6.8,6.06,0.08,3.72,17.18,2
6.98,4.66,1.05,2.36,1.65,86.65,0
6.24,5.65,3.43,0.48,3.87,42.9,0
7.22,9.65,9.67,2.57,0.94,89.41,1
9.27,3.74,1.91,2.43,2.41,76.68,0
9.89,6.07,4.82,1.11,2.09,72.97,0
8.77,8.38,3.56,0.91,4.37,91.93,0
7.12,4.64,7.21,0.49,3.34,47.97,1
7.71,0.4,5.16,1.57,1.07,35.54,0
5.13,3.44,1.87,2.84,2.02,61.59,0
9.85,0.81,6.87,2.61,3.17,31.99,0
6.59,0.36,5.81,2.98,4.79,31.14,1
8.23,3.02,9.13,0.14,4.68,19.22,2
4.71,0.6,8.51,0.47,2.67,0.0,2
7.4,3.97,5.01,0.19,4.84,54.26,1
5.14,2.86,9.68,0.28,4.34,9.59,2
8.98,9.76,8.58,2.83,0.63,100.0,1
7.27,5.43,9.09,2.92,3.52,41.86,1
6.74,3.86,4.25,1.17,0.45,54.13,0
8.68,4.46,9.38,1.84,0.18,55.48,1
5.23,9.76,2.97,1.55,4.68,72.41,1
5.42,0.49,2.38,0.19,0.98,25.54,1
9.47,5.37,6.63,0.61,4.0,75.05,0
9.18,9.49,4.13,0.27,1.13,100.0,1
9.67,3.78,7.94,1.62,0.91,64.6,1
7.92,6.73,4.91,0.69,3.61,83.89,0
9.62,1.88,1.97,1.49,2.6,58.45,0
6.62,9.95,5.38,1.43,2.11,100.0,1
7.56,2.28,6.74,0.15,4.91,38.79,1
9.38,4.76,1.54,2.47,3.24,84.33,0
6.57,6.38,8.71,1.89,1.74,67.44,1
8.03,9.61,4.34,1.28,4.06,100.0,0
8.42,4.6,2.94,2.24,0.66,95.09,0
7.76,7.47,9.05,0.82,0.55,63.98,1
4.93,1.98,3.62,1.59,4.41,16.97,1
8.25,1.75,4.22,1.44,0.74,54.77,0
5.85,1.27,5.95,2.12,0.35,19.89,1
8.69,7.48,8.34,1.34,4.1,65.45,1
6.16,1.76,5.21,1.18,1.2,28.45,0
5.88,2.73,2.18,1.32,1.51,33.41,0
5.42,7.63,9.37,1.49,3.21,39.64,1
9.99,6.14,9.01,2.73,3.96,79.01,1
4.49,0.16,5.29,1.48,2.04,0.0,1
7.31,8.37,1.98,0.68,3.97,87.89,0
9.97,8.73,9.01,0.94,2.01,84.55,1
7.64,9.39,4.1,1.67,1.48,100.0,0
5.17,0.58,9.54,1.21,4.17,0.0,1
5.15,1.75,8.31,0.79,4.57,3.17,2
8.07,8.14,3.12,0.83,4.82,97.48,1
6.58,4.33,3.28,2.33,3.86,68.55,0
9.01,2.13,1.04,1.71,4.97,60.71,0
5.25,5.19,8.29,0.27,1.98,20.9,2
6.23,1.89,2.76,1.23,2.4,27.93,0
7.85,6.9,9.85,1.24,2.02,68.16,1
5.48,7.3,7.79,0.29,2.34,41.72,2
5.11,4.64,3.6,2.39,4.54,50.81,1
5.6,2.74,3.29,0.41,4.72,33.46,1
5.35,8.47,4.59,0.11,0.81,65.44,1
8.7,2.11,9.26,2.55,4.24,41.3,1
4.3,8.67,3.75,1.86,3.8,57.32,1
8.69,9.39,7.56,1.32,4.38,86.03,1
8.47,8.21,7.74,0.86,0.59,78.57,1
7.02,5.05,6.24,1.19,3.93,54.23,0
5.48,7.37,7.1,1.57,0.94,68.17,1
9.76,7.22,9.26,2.95,1.76,83.0,1
6.84,9.87,1.84,1.24,4.38,100.0,0
8.73,3.83,9.82,2.65,1.51,46.28,1
6.02,6.06,6.93,2.49,0.12,55.09,1
8.27,5.64,5.46,0.17,1.74,66.34,1
4.19,3.96,9.51,0.15,3.75,0.0,2
9.2,7.46,8.97,0.65,2.66,65.11,1
5.47,2.31,1.24,2.88,3.55,52.0,0
8.46,5.32,5.29,1.35,3.2,80.57,0
9.33,8.12,4.15,1.74,0.71,96.91,0
9.42,9.22,3.99,0.51,1.06,100.0,0
4.72,0.71,9.91,0.22,0.66,0.0,2
7.48,7.74,6.68,2.65,3.19,88.64,0
8.28,4.47,4.11,1.4,0.85,69.7,0
5.56,1.54,3.22,2.53,1.65,43.79,0
9.14,0.78,7.89,0.92,1.08,18.32,1
9.46,2.95,6.12,0.87,2.77,58.06,0
7.66,6.24,2.22,2.08,3.37,88.66,0
4.44,4.47,4.68,0.26,1.11,20.16,1
8.46,2.37,8.47,1.64,3.8,28.53,1
7.0,6.2,9.35,1.48,2.64,50.86,1
8.43,0.72,5.64,1.44,4.61,37.57,1
6.81,9.62,5.06,0.54,1.08,88.28,1
4.0,4.32,7.92,2.2,0.16,21.47,2
4.93,9.41,2.51,1.88,1.63,73.78,1
6.47,7.6,3.08,2.72,2.5,92.41,0
9.1,9.99,3.02,0.86,1.25,100.0,0
7.49,9.94,9.91,1.58,3.2,73.64,1
9.6,2.04,5.76,2.5,1.52,59.25,0
9.91,9.85,9.15,2.4,1.35,95.61,1
7.28,5.61,5.55,1.91,2.04,84.81,0
6.0,3.31,2.15,0.57,4.25,33.6,0
5.37,7.59,5.99,0.06,1.58,56.37,1
7.94,2.75,1.58,0.16,2.91,57.33,0
9.09,1.55,6.46,1.33,2.21,45.52,0
8.82,8.93,1.1,0.54,4.52,100.0,1
4.9,2.03,6.94,2.17,3.0,0.57,1
6.96,3.0,5.3,1.08,1.12,54.97,0
6.11,7.11,1.17,1.32,3.22,76.84,0
8.66,8.11,7.41,0.31,2.38,67.66,2
5.47,0.43,3.01,1.36,2.07,19.62,0
8.95,9.26,2.81,2.79,0.09,100.0,1
9.71,0.12,7.87,2.91,4.53,20.99,1
7.3,0.78,8.65,1.84,3.07,16.76,1
7.43,1.54,7.66,0.23,3.65,7.41,1
6.83,5.1,3.81,2.91,3.67,83.9,0
5.05,2.2,5.18,2.83,3.67,22.28,1
9.16,3.78,8.67,0.73,3.09,30.62,1
5.55,6.93,9.89,0.45,0.44,40.19,2
6.04,0.71,5.28,2.26,1.43,13.06,0
9.07,5.2,8.58,1.34,4.76,49.14,1
4.7,8.85,5.4,0.42,0.76,46.55,2
4.28,2.87,2.26,1.32,2.07,25.46,1
5.68,0.32,6.53,1.12,3.26,0.0,1
4.08,2.48,5.11,1.18,4.05,7.05,1
7.18,5.94,1.2,1.55,1.72,86.79,0
4.6,7.83,9.48,0.07,3.01,30.71,2
5.71,7.88,6.69,2.79,4.91,68.54,1
6.67,5.47,2.32,1.01,4.94,71.34,0
6.72,8.43,3.92,1.44,4.89,96.79,1
4.79,0.52,9.51,0.8,2.52,0.0,2
6.54,9.3,5.52,2.91,1.29,100.0,1
9.16,4.48,3.52,2.57,1.95,75.74,0
9.86,1.86,3.71,0.09,1.96,51.16,0
8.08,1.81,7.07,0.79,1.78,40.42,1
8.3,4.67,4.25,2.56,2.86,82.93,0
9.4,3.43,1.35,1.48,0.62,96.68,0
8.48,1.31,8.26,2.81,3.03,34.4,1
8.28,9.93,4.07,0.49,2.6,100.0,1
5.07,6.13,1.13,2.78,1.32,81.53,0
4.65,2.4,3.47,0.1,1.4,5.4,1
6.27,3.85,4.05,0.98,0.45,53.68,0
5.21,7.57,9.92,2.79,2.52,55.32,1
5.89,7.74,7.88,2.53,4.48,71.79,1
8.6,8.06,3.78,2.79,0.47,100.0,1
8.62,0.93,6.91,0.1,3.85,12.27,1
7.61,8.57,1.88,0.83,2.07,100.0,0
6.69,2.65,4.53,1.28,4.4,44.14,0
9.36,4.26,3.95,1.51,2.09,70.43,0
7.02,1.52,4.17,1.7,2.07,52.08,0
5.54,9.7,8.06,2.9,4.19,69.61,2
7.16,1.7,8.36,1.75,1.32,29.49,1
4.69,5.64,7.49,0.18,2.99,28.24,2
4.41,5.12,3.33,1.99,0.59,40.91,1
9.37,1.86,3.91,1.76,3.59,44.27,0
4.94,1.04,10.0,1.37,4.36,0.0,2
9.53,0.88,2.03,2.79,4.74,49.53,0
6.13,4.52,4.75,0.57,4.49,42.67,0
8.23,0.67,1.35,1.96,1.7,59.15,0
4.56,9.5,7.74,2.63,0.68,56.99,2
6.21,5.37,3.67,0.18,1.84,57.0,0
6.32,1.97,3.36,1.88,1.94,35.62,0
7.2,7.72,4.41,1.76,4.83,86.98,0
9.46,7.94,1.53,1.29,3.49,100.0,0
6.75,0.93,6.06,0.38,3.76,19.02,1
8.34,8.69,6.66,1.84,3.77,90.53,1
9.21,0.36,6.01,0.65,4.3,22.19,0
6.52,1.88,4.05,2.11,1.02,42.77,0
9.33,7.64,2.8,0.88,4.86,86.48,0
7.66,3.08,3.69,0.12,3.64,44.37,0
4.03,7.29,9.54,2.27,2.36,20.58,2
6.62,3.25,5.7,1.29,2.99,49.91,0
9.97,0.79,4.46,0.54,1.76,43.56,0
5.05,7.64,5.47,2.76,0.16,73.08,1
6.42,0.8,3.36,2.96,1.04,53.92,0
7.44,4.98,6.22,1.13,4.13,60.61,0
6.57,6.9,8.81,1.11,2.84,50.69,1
5.02,0.69,7.55,0.86,3.62,4.88,1
9.18,8.36,1.8,0.07,0.28,99.15,1
5.41,5.48,4.84,2.39,2.44,61.08,0
9.93,1.5,8.48,0.16,2.39,24.32,1
7.99,6.85,3.37,1.26,1.83,91.27,0
6.77,3.27,3.75,0.75,1.83,57.5,0
9.23,6.02,2.2,2.08,4.24,78.66,0
4.9,0.09,1.43,2.29,4.94,17.2,1
8.49,0.72,6.33,2.27,1.8,39.57,0
7.57,9.91,3.32,0.57,0.62,100.0,0
7.58,7.92,7.78,2.68,4.03,70.87,1
7.34,2.97,3.97,2.8,3.41,55.57,0
6.5,5.37,5.38,0.32,1.18,58.82,1
4.4,9.31,2.11,0.59,3.83,73.14,1
9.4,7.26,1.62,2.08,3.16,100.0,0
8.97,7.18,6.28,0.97,3.49,71.74,0
7.53,6.64,4.93,2.27,4.99,87.61,0
5.21,5.39,5.33,1.71,0.25,56.41,1
7.5,5.85,6.92,2.16,3.21,66.31,0
7.75,5.38,6.46,0.3,1.37,60.53,1
9.24,6.79,1.81,1.78,1.11,91.61,0
8.96,5.93,6.32,1.02,2.23,52.35,0
8.34,5.2,4.31,0.15,0.72,81.44,0
6.24,9.44,5.55,0.7,0.53,94.91,1
8.89,3.83,7.95,2.41,0.55,44.94,1
9.75,4.02,1.46,2.77,4.42,86.89,0
7.31,2.12,8.38,1.5,0.17,33.44,1
9.7,8.29,3.49,0.16,4.7,86.63,1
7.19,6.42,5.16,1.26,0.6,67.65,0
5.4,8.37,2.31,0.68,2.74,67.84,1
4.98,5.63,4.31,1.88,4.56,39.83,1
9.48,9.02,8.46,1.89,3.1,92.4,1
8.14,0.16,9.62,1.76,3.91,14.02,1
4.07,5.1,5.56,1.31,1.7,31.34,1
9.82,1.73,3.88,0.88,2.72,62.76,0
7.86,9.5,3.57,2.08,0.13,100.0,1
6.78,0.31,6.56,2.03,3.73,25.41,0
7.62,3.96,1.37,0.3,3.27,73.2,0
4.09,5.58,7.76,2.48,2.73,19.49,2
8.18,8.59,2.1,2.78,0.13,100.0,1
4.46,1.95,1.04,1.34,1.67,22.61,1
6.71,4.02,7.91,2.68,3.26,58.96,1
9.48,0.89,4.66,2.83,4.75,46.16,0
8.0,4.57,7.78,0.09,0.72,66.71,1
5.4,6.66,4.16,2.66,4.1,56.79,0
8.64,2.71,5.45,0.59,4.3,48.46,0
9.41,8.77,9.64,0.69,4.66,66.92,2
6.53,5.6,4.08,0.87,1.21,76.43,0
6.98,8.88,6.67,1.56,2.14,85.58,1
5.26,8.23,2.79,2.15,3.8,78.65,1
9.18,2.91,8.93,2.19,3.99,42.94,1
9.08,9.93,4.78,2.44,3.72,100.0,0
9.56,3.94,6.09,0.32,1.13,64.53,1
6.38,3.94,3.21,1.47,4.03,49.98,0
4.42,5.75,5.21,1.84,2.24,39.11,1
6.83,5.82,5.51,1.42,4.09,78.6,0
6.05,8.01,8.68,0.46,2.91,55.41,2
8.44,2.39,7.04,0.77,2.56,33.68,1
6.29,8.76,9.88,2.62,0.83,84.51,1
4.19,3.93,8.84,2.07,2.66,11.54,2
8.87,7.1,5.22,2.68,1.15,90.44,0
7.86,9.72,3.23,0.75,0.7,100.0,0
5.36,5.03,9.92,0.04,2.78,20.77,2
8.84,3.55,4.69,0.5,3.7,46.53,0
4.82,3.93,9.04,0.01,1.49,9.33,2
6.0,2.72,5.14,0.54,2.65,40.16,0
7.45,0.93,8.6,0.52,3.82,20.78,1
8.7,2.06,2.68,1.49,0.16,66.89,0
8.34,8.37,1.73,2.65,3.99,100.0,0
8.19,6.74,5.73,1.96,4.6,88.54,1
5.89,0.72,9.5,1.34,3.38,1.32,1
9.95,1.62,8.2,2.66,0.24,44.85,1
6.13,6.49,5.63,0.78,0.68,70.62,0
4.62,6.38,4.16,0.65,3.46,38.35,1
7.24,9.35,4.47,2.51,0.38,100.0,1
9.93,8.47,6.22,1.88,1.77,93.65,1
8.62,9.98,5.43,0.18,2.98,90.57,1
5.47,3.29,7.58,0.55,0.83,23.81,1
9.24,6.94,1.36,0.08,2.79,91.96,0
7.58,4.35,9.31,0.86,3.4,47.92,1
9.74,9.81,7.65,1.4,1.1,97.85,1
8.42,2.22,5.06,1.39,4.13,51.71,0
7.86,6.5,3.43,1.12,0.23,88.53,0
6.6,4.38,3.21,0.63,2.94,68.57,0
4.39,7.68,4.39,1.14,2.16,53.16,1
5.93,7.58,9.46,1.98,2.16,64.75,1
6.49,5.25,3.86,0.31,2.07,63.53,0
6.46,5.57,9.38,0.11,3.11,20.39,1
4.12,2.5,2.07,0.65,1.37,18.52,1
7.17,0.01,2.46,0.28,2.75,35.58,0
7.29,2.22,1.22,2.82,0.54,73.25,0
4.88,9.81,6.56,1.83,4.93,49.37,2
9.85,2.04,6.61,1.26,1.92,46.73,0
4.9,9.97,4.41,1.95,4.84,70.66,2
9.54,5.68,7.34,0.45,2.67,66.61,1
6.74,1.55,3.2,2.56,0.17,50.58,0
10.0,0.07,2.45,2.02,0.3,42.04,0
8.1,5.88,4.29,2.09,2.97,88.6,0
7.38,8.82,7.0,1.42,1.61,85.2,1
5.47,0.11,9.88,0.67,4.07,0.0,1
5.7,4.18,3.92,2.4,4.79,51.07,1
4.92,7.77,2.33,2.74,2.59,70.96,1
4.94,0.12,3.23,2.74,3.99,4.57,1
4.6,5.92,3.31,1.63,1.6,47.78,1
7.44,1.83,5.22,1.95,0.64,57.42,0
7.03,8.2,6.89,2.13,3.58,86.8,1
7.68,2.78,1.9,1.82,0.33,64.19,0
4.36,5.49,2.44,1.83,3.95,42.31,1
5.86,5.49,6.07,1.42,3.28,45.67,1
9.88,0.98,8.46,1.78,1.22,19.25,1
4.51,7.74,6.31,0.33,0.4,48.62,2
5.76,8.89,7.86,2.09,1.39,73.36,2
9.69,0.92,3.94,0.7,1.97,22.71,0
6.85,5.71,3.83,0.42,1.33,86.11,0
7.61,3.78,8.11,0.19,1.27,31.3,1
9.91,7.06,6.56,0.01,0.92,77.68,1
6.28,9.24,7.88,1.34,3.75,64.95,1
6.77,6.43,9.27,0.75,4.43,62.59,1
7.89,7.83,6.53,1.49,3.09,88.17,0
5.29,2.7,6.38,1.33,1.22,27.64,1
6.24,4.46,4.69,0.55,3.66,49.85,0
4.1,9.64,8.34,2.17,4.35,44.72,2
6.02,6.11,6.48,0.8,1.11,72.19,0
7.96,7.81,7.85,0.95,1.03,78.08,1
7.28,9.19,8.87,2.75,4.25,81.85,1
6.79,0.47,1.75,1.17,1.29,39.39,0
9.72,1.95,9.63,2.28,3.2,36.98,1
5.99,6.46,2.68,2.81,1.51,84.13,0
8.27,6.56,5.06,1.9,0.8,87.95,0
5.62,2.73,2.46,1.0,1.66,52.74,0
5.14,1.93,5.88,0.39,3.44,5.11,1
6.56,9.01,1.88,0.13,3.61,100.0,1
9.06,0.57,7.99,1.13,1.52,24.66,1
9.98,0.64,8.44,1.92,3.68,30.76,1
9.15,1.84,1.01,1.8,1.77,71.0,0
5.12,3.32,1.63,0.17,4.58,42.64,1
9.89,9.64,2.28,2.14,3.0,100.0,0
4.58,1.89,1.69,1.81,4.93,15.62,1
8.26,9.85,7.1,0.12,4.34,99.1,2
4.03,5.07,9.43,0.77,2.46,5.0,2
4.35,0.81,7.54,2.59,0.72,5.36,2
5.17,0.27,5.98,2.1,3.24,11.49,1
7.33,0.94,2.39,2.8,3.81,54.67,0
9.5,6.49,9.35,1.25,0.02,65.13,1
4.66,0.95,4.17,2.1,3.95,20.77,1
4.88,7.48,4.19,0.04,1.4,50.1,1
5.65,8.12,7.84,2.09,0.7,64.84,2
